,lat,lon,date,temp,pop
179,48.8589,2.32,2024-07-12,19.2,0.2
180,49.2765,-0.7025,2024-07-07,15.49,0.67
181,49.2765,-0.7025,2024-07-08,14.07,0.32
182,49.2765,-0.7025,2024-07-09,17.08,0.51
183,49.2765,-0.7025,2024-07-10,18.52,0.8
184,49.2765,-0.7025,2024-07-11,17.31,0.57
185,49.2765,-0.7025,2024-07-12,15.75,0.4
186,49.4405,1.094,2024-07-07,16.16,0.67
187,49.4405,1.094,2024-07-08,14.53,0.02
188,49.4405,1.094,2024-07-09,17.62,0.48
189,49.4405,1.094,2024-07-10,18.61,0.67
190,49.4405,1.094,2024-07-11,18.33,0.69
191,49.4405,1.094,2024-07-12,16.92,0.88
192,49.4939,0.108,2024-07-07,16.47,0.93
193,49.4939,0.108,2024-07-08,15.41,0.39
194,49.4939,0.108,2024-07-09,17.38,0.61
195,49.4939,0.108,2024-07-10,18.46,0.43
196,49.4939,0.108,2024-07-11,17.66,0.25
197,49.4939,0.108,2024-07-12,16.83,0.15
198,49.8942,2.2957,2024-07-07,16.73,0.46
199,49.8942,2.2957,2024-07-08,14.84,0.0
200,49.8942,2.2957,2024-07-09,18.68,0.25
201,49.8942,2.2957,2024-07-10,18.52,0.58
202,49.8942,2.2957,2024-07-11,18.06,0.85
203,49.8942,2.2957,2024-07-12,16.06,0.8
204,50.6366,3.0635,2024-07-07,16.8,0.67
205,50.6366,3.0635,2024-07-08,15.9,0.02
206,50.6366,3.0635,2024-07-09,18.65,0.38
207,50.6366,3.0635,2024-07-10,18.77,0.49
208,50.6366,3.0635,2024-07-11,17.5,0.6
209,50.6366,3.0635,2024-07-12,15.05,0.44
